index,station,cluster
0,1,0
1,2,2
2,3,0
3,4,3
4,5,0
5,6,0
6,7,0
7,8,3
8,9,2
9,10,0
10,11,3
11,12,0
12,13,3
13,14,0
14,15,2
15,16,3
16,17,0
17,18,0
18,19,0
19,20,3
20,21,0
21,22,0
22,23,0
23,24,0
24,25,0
25,26,2
26,27,0
27,28,1
28,29,3
29,30,0
30,31,2
31,32,0
32,33,3
33,34,3
34,35,3
35,36,3
36,37,3
37,38,3
38,39,1
39,40,2
40,41,0
41,42,2
42,43,1
43,44,0
44,45,3
45,46,1
46,47,0
47,48,0
48,49,0
49,50,3
50,51,3
51,52,1
52,53,1
53,54,1
54,55,0
55,56,0
56,57,2
57,58,0
58,59,0
59,60,0
60,61,0
61,62,2
62,63,1
63,64,1
64,65,2
65,66,2
66,67,1
67,68,3
68,69,3
69,70,1
70,71,3
71,72,3
72,73,1
73,74,2
74,75,2
75,76,1
76,77,3
77,78,1
78,79,2
79,80,1
80,81,0
81,82,1
82,83,3
83,84,3
84,85,0
85,86,2
86,87,2
87,88,2
88,89,1
89,90,2
90,91,2
91,92,2
92,93,2
93,94,2
94,95,2
95,96,3
96,97,0
97,98,0
98,99,0
99,100,0
100,101,1
101,102,2
102,103,2
103,104,2
104,105,2
105,106,1
106,107,1
107,108,0
108,109,2
109,110,2
110,111,2
111,112,3
112,113,2
113,114,2
114,115,1
115,116,1
116,117,0
117,118,0
118,119,2
119,120,3
120,121,2
121,122,3
122,123,2
123,124,3
124,125,2
125,126,2
126,127,2
127,128,2
128,129,2
129,130,2
130,131,2
131,132,0
132,133,3
133,134,2
134,135,0
135,136,0
136,137,2
137,138,2
138,139,0
139,140,1
140,141,2
141,142,1
142,143,0
143,144,2
144,145,2
145,146,1
146,147,1
147,148,1
148,149,1
149,150,2
150,151,3
151,152,0
152,153,2
153,154,2
154,155,3
155,156,2
156,157,3
157,158,0
158,159,1
159,160,3
160,161,1
161,162,2
162,163,3
163,164,2
164,165,0
165,166,0
166,167,0
167,168,2
168,169,0
169,170,1
170,171,2
171,172,2
172,173,0
173,174,0
174,175,0
175,176,0
176,177,1
177,178,0
178,179,0
179,180,1
180,181,2
181,182,1
182,183,2
183,184,2
184,185,2
185,186,0
186,187,2
187,188,1
188,189,2
189,190,3
190,191,3
191,192,2
192,193,3
193,194,2
194,195,1
195,196,2
196,197,3
197,198,2
198,199,2
199,200,1
200,201,2
201,202,1
202,203,3
203,204,3
204,205,2
205,206,1
206,207,2
207,208,1
208,209,2
209,210,2
210,211,2
211,212,2
212,213,1
213,214,1
214,215,1
215,216,1
216,217,2
217,218,1
218,219,3
219,220,2
220,221,3
221,222,1
222,223,1
223,224,3
224,225,2
225,226,2
226,227,1
227,228,1
228,229,1
229,230,1
230,231,3
231,232,2
232,233,1
233,234,2
234,235,1
235,236,2
236,237,3
237,238,1
238,239,2
239,240,1
240,241,2
241,242,0
242,243,0
243,244,1
244,245,2
245,246,3
246,247,1
247,248,2
248,249,2
249,250,1
250,251,1
251,252,0
252,253,2
253,254,1
254,255,1
255,256,2
256,257,0
257,258,2
258,259,1
259,260,2
260,261,0
261,262,2
