index,station,cluster
0,1,5
1,2,1
2,3,1
3,4,6
4,5,5
5,6,2
6,7,8
7,8,6
8,9,1
9,10,1
10,11,6
11,12,5
12,13,6
13,14,8
14,15,1
15,16,6
16,17,8
17,18,5
18,19,8
19,20,6
20,21,5
21,22,5
22,23,5
23,24,5
24,25,5
25,26,5
26,27,5
27,28,0
28,29,3
29,30,1
30,31,1
31,32,1
32,33,2
33,34,3
34,35,2
35,36,3
36,37,3
37,38,6
38,39,0
39,40,6
40,41,8
41,42,2
42,43,9
43,44,5
44,45,3
45,46,9
46,47,5
47,48,5
48,49,1
49,50,3
50,51,6
51,52,3
52,53,9
53,54,0
54,55,8
55,56,1
56,57,2
57,58,1
58,59,1
59,60,8
60,61,8
61,62,2
62,63,3
63,64,3
64,65,3
65,66,2
66,67,9
67,68,3
68,69,6
69,70,0
70,71,7
71,72,3
72,73,0
73,74,1
74,75,6
75,76,4
76,77,9
77,78,3
78,79,1
79,80,9
80,81,2
81,82,4
82,83,7
83,84,2
84,85,8
85,86,2
86,87,6
87,88,2
88,89,2
89,90,2
90,91,6
91,92,2
92,93,1
93,94,8
94,95,6
95,96,3
96,97,8
97,98,8
98,99,8
99,100,8
100,101,4
101,102,2
102,103,7
103,104,5
104,105,1
105,106,3
106,107,0
107,108,1
108,109,2
109,110,1
110,111,7
111,112,7
112,113,2
113,114,2
114,115,9
115,116,9
116,117,1
117,118,8
118,119,7
119,120,0
120,121,2
121,122,7
122,123,5
123,124,7
124,125,2
125,126,2
126,127,1
127,128,8
128,129,9
129,130,7
130,131,9
131,132,8
132,133,6
133,134,2
134,135,1
135,136,1
136,137,9
137,138,2
138,139,1
139,140,0
140,141,8
141,142,5
142,143,8
143,144,1
144,145,0
145,146,0
146,147,9
147,148,3
148,149,9
149,150,2
150,151,6
151,152,8
152,153,1
153,154,1
154,155,7
155,156,7
156,157,6
157,158,5
158,159,9
159,160,6
160,161,0
161,162,7
162,163,3
163,164,1
164,165,2
165,166,5
166,167,8
167,168,2
168,169,8
169,170,0
170,171,2
171,172,2
172,173,8
173,174,1
174,175,8
175,176,1
176,177,9
177,178,1
178,179,8
179,180,0
180,181,2
181,182,9
182,183,1
183,184,0
184,185,0
185,186,1
186,187,6
187,188,9
188,189,0
189,190,6
190,191,7
191,192,0
192,193,6
193,194,2
194,195,4
195,196,7
196,197,7
197,198,2
198,199,1
199,200,2
200,201,1
201,202,2
202,203,6
203,204,7
204,205,8
205,206,9
206,207,7
207,208,9
208,209,7
209,210,7
210,211,8
211,212,6
212,213,0
213,214,3
214,215,3
215,216,0
216,217,2
217,218,9
218,219,6
219,220,7
220,221,3
221,222,9
222,223,4
223,224,7
224,225,0
225,226,2
226,227,0
227,228,4
228,229,4
229,230,9
230,231,7
231,232,0
232,233,9
233,234,7
234,235,4
235,236,7
236,237,3
237,238,3
238,239,1
239,240,9
240,241,1
241,242,8
242,243,8
243,244,4
244,245,6
245,246,3
246,247,9
247,248,6
248,249,6
249,250,4
250,251,0
251,252,5
252,253,1
253,254,9
254,255,4
255,256,1
256,257,5
257,258,0
258,259,4
259,260,5
260,261,1
261,262,6
